sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
2644;SDS011;1332;48.539;9.268;2019-01-01T00:00:02;366.63;;;212.65;;
13785;SDS011;6965;48.800;9.388;2019-01-01T00:00:02;368.33;;;295.90;;
14215;SDS011;7191;50.894;4.925;2019-01-01T00:00:02;4.13;;;22.3;;
10611;SDS011;5353;42.618;23.703;2019-01-01T00:00:02;42.87;;;24.43;;
2762;SDS011;1389;51.490;7.338;2019-01-01T00:00:02;433.47;;;227.03;;
8677;SDS011;4376;53.628;10.015;2019-01-01T00:00:02;43.43;;;37.63;;
5289;SDS011;2667;49.545;9.732;2019-01-01T00:00:02;45.00;;;32.50;;
15000;SDS011;7596;41.089;16.783;2019-01-01T00:00:02;4.53;;;2.03;;
12660;SDS011;6395;51.816;5.726;2019-01-01T00:00:02;48.83;;;20.13;;
15261;SDS011;7733;51.554;13.590;2019-01-01T00:00:02;53.00;;;35.63;;
14456;SDS011;7314;50.922;4.550;2019-01-01T00:00:02;5.30;;;4.83;;
14603;SDS011;7388;51.078;13.740;2019-01-01T00:00:02;58.73;;;42.35;;
1543;SDS011;765;48.842;9.355;2019-01-01T00:00:02;597.67;;;357.83;;
7645;SDS011;3864;48.181;14.178;2019-01-01T00:00:02;60.33;;;54.23;;
18112;SDS011;9183;57.478;11.978;2019-01-01T00:00:02;64.83;;;10.33;;
1925;SDS011;964;42.607;23.587;2019-01-01T00:00:02;70.57;;;39.50;;
8716;SDS011;4395;48.553;8.819;2019-01-01T00:00:02;75.77;;;52.87;;
10207;SDS011;5146;52.733;8.503;2019-01-01T00:00:02;76.50;;;59.97;;
19422;SDS011;9847;50.816;4.335;2019-01-01T00:00:02;8.33;;;5.70;;
4039;SDS011;2034;51.564;6.999;2019-01-01T00:00:02;85.83;;;49.33;;
13651;SDS011;6899;51.546;6.912;2019-01-01T00:00:02;89.50;;;59.53;;
4616;SDS011;2321;42.704;23.384;2019-01-01T00:00:02;89.97;;;36.97;;
3825;SDS011;1928;53.633;10.070;2019-01-01T00:00:02;92.23;;;48.37;;
189;SDS011;84;48.813;9.125;2019-01-01T00:00:02;934.40;;;523.00;;
2388;SDS011;1205;47.984;7.669;2019-01-01T00:00:02;9.63;;;7.23;;
11046;SDS011;5576;50.008;10.597;2019-01-01T00:00:03;101.60;;;80.57;;
3523;SDS011;1776;53.329;11.499;2019-01-01T00:00:03;10.27;;;6.90;;
10537;SDS011;5317;49.049;8.469;2019-01-01T00:00:03;110.80;;;61.23;;
18208;SDS011;9230;48.851;9.881;2019-01-01T00:00:03;115.33;;;61.10;;
14736;SDS011;7459;53.590;10.063;2019-01-01T00:00:03;116.73;;;82.77;;
1613;SDS011;800;48.825;9.346;2019-01-01T00:00:03;117.23;;;84.40;;
18447;SDS011;9353;50.957;6.920;2019-01-01T00:00:03;117.63;;;78.03;;
17392;SDS011;8936;49.010;12.119;2019-01-01T00:00:03;118.73;;;60.03;;
17145;SDS011;8688;54.443;18.445;2019-01-01T00:00:03;12.93;;;6.87;;
5173;SDS011;2606;50.933;6.934;2019-01-01T00:00:03;132.37;;;64.27;;
13753;SDS011;6948;51.216;6.778;2019-01-01T00:00:03;134.43;;;111.97;;
5405;SDS011;2726;50.576;12.659;2019-01-01T00:00:03;13.72;;;7.42;;
10517;SDS011;5307;42.549;22.968;2019-01-01T00:00:03;14.53;;;11.10;;
6288;SDS011;3177;49.880;8.836;2019-01-01T00:00:03;154.63;;;89.43;;
4523;SDS011;2274;52.229;9.842;2019-01-01T00:00:03;15.60;;;7.67;;
6191;SDS011;3129;42.694;23.289;2019-01-01T00:00:03;165.40;;;121.93;;
11334;SDS011;5722;42.620;23.373;2019-01-01T00:00:03;166.47;;;94.10;;
3995;SDS011;2012;49.793;9.723;2019-01-01T00:00:03;174.77;;;87.67;;
12810;SDS011;6470;47.653;7.896;2019-01-01T00:00:03;174.95;;;99.42;;
6914;SDS011;3497;43.082;25.629;2019-01-01T00:00:03;191.40;;;85.43;;
10795;SDS011;5450;42.994;23.372;2019-01-01T00:00:03;19.40;;;14.83;;
18655;SDS011;9457;43.002;11.954;2019-01-01T00:00:03;200.97;;;89.83;;
9166;SDS011;4618;48.817;9.089;2019-01-01T00:00:03;201.73;;;137.33;;
4150;SDS011;2089;51.036;7.068;2019-01-01T00:00:03;203.03;;;105.17;;
10436;SDS011;5265;50.007;9.203;2019-01-01T00:00:03;206.90;;;113.40;;
1432;SDS011;710;48.190;11.367;2019-01-01T00:00:03;211.27;;;154.47;;
9160;SDS011;4615;51.340;8.289;2019-01-01T00:00:03;21.23;;;14.87;;
16330;SDS011;8275;48.205;16.340;2019-01-01T00:00:03;22.23;;;20.03;;
1038;SDS011;508;51.467;7.100;2019-01-01T00:00:03;238.35;;;143.28;;
2127;SDS011;9874;49.240;7.009;2019-01-01T00:00:03;242.30;;;169.07;;
6926;SDS011;3503;50.076;8.867;2019-01-01T00:00:03;244.17;;;144.50;;
14627;SDS011;7400;53.081;8.770;2019-01-01T00:00:03;24.73;;;14.67;;
3939;SDS011;1984;48.313;9.244;2019-01-01T00:00:03;252.77;;;117.70;;
1699;SDS011;847;48.057;7.809;2019-01-01T00:00:03;253.60;;;144.70;;
4563;SDS011;2294;51.817;8.484;2019-01-01T00:00:03;256.43;;;100.93;;
10158;SDS011;5120;42.698;23.228;2019-01-01T00:00:03;271.13;;;154.20;;
10146;SDS011;5114;41.832;23.487;2019-01-01T00:00:03;27.35;;;19.50;;
6215;SDS011;3141;49.235;9.326;2019-01-01T00:00:03;274.33;;;149.93;;
15238;SDS011;7722;53.274;9.500;2019-01-01T00:00:03;27.90;;;23.40;;
14084;SDS011;7118;47.051;15.461;2019-01-01T00:00:03;31.33;;;20.67;;
14290;SDS011;7229;57.730;11.930;2019-01-01T00:00:03;33.10;;;9.23;;
5809;SDS011;2931;52.340;9.765;2019-01-01T00:00:03;34.03;;;24.10;;
3467;SDS011;1748;43.987;22.872;2019-01-01T00:00:03;34.33;;;19.20;;
